Codigo,Campo,Valor,Fuente,FuenteURL
35016065,ZonaInspeccionNombre,LP0 - Provincia Las Palmas,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=35016065
35016077,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=35016077
35016077,ZonaInspeccionCodigo,311,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=35016077
35016077,ZonaInspeccionNombre,LP0 - Provincia Las Palmas,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=35016077
38000378,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000378
38000378,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000378
38000378,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000378
38000408,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000408
38000408,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000408
38000408,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000408
38000421,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000421
38000421,ZonaInspeccionCodigo,725,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000421
38000421,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000421
38000469,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000469
38000469,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38000469
