Codigo,Activo,FechaAlta,FechaBaja,CodigoSustituidoPor,FuenteEstado,FuenteEstadoURL
38002065,0,,2026-08-31,38017731,BOC-A-2026-179-3175,https://www.gobiernodecanarias.org/boc/2026/179/3175.html
38017731,1,2026-09-01,,,BOC-A-2026-179-3175,https://www.gobiernodecanarias.org/boc/2026/179/3175.html
