Codigo,Isla,Municipio,CentroProfesoresCodigo,CentroProfesoresNombre,URLWebCEP
,LA PALMA,TIJARAFE,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,VILLA DE MAZO,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LANZAROTE,ARRECIFE,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,HARÍA,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,SAN BARTOLOMÉ,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,TEGUISE,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,TINAJO,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,TÍAS,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,LANZAROTE,YAIZA,35700043,C.PROFES. LANZAROTE,http://www.gobiernodecanarias.org/educacion/cep_lanzarote
,TENERIFE,ADEJE,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,ARAFO,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
,TENERIFE,ARICO,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,ARONA,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,BUENAVISTA DEL NORTE,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,CANDELARIA,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
,TENERIFE,EL ROSARIO,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,EL SAUZAL,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,EL TANQUE,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,FASNIA,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
